 Reviewer name,Review,Rating,Package name
Shizune Hakamichi,Does not work,1,com.flashsphere.rainwaveplayer
Chris Miles,The app recently stopped connecting consistently to the server and now endlessly buffers. It's connectivity is incredibly spotty and I've had to resort to listening to Rainwave on Chrome app. I've been using Rainwave app for over a year without issue till now. Everything is up to date. Not sure what the issue is.,2,com.flashsphere.rainwaveplayer
Michael Barry,"Its a good little music app, actually. Ive often found myself using it to listen to chiptunes on my Amazon Echo. Thing is, for whatever reason, it doesnt connect on my phone at all, ever. Its aleays a connection error. I have an LG V20 and im using wi-fi.",2,com.flashsphere.rainwaveplayer
Nieves Mares,"It kinda works"" need support and updates. some music stays on cool down for 3-4 days and don't refresh it self automatically after picking music. Any suggestions???",3,com.flashsphere.rainwaveplayer
Matt Kell,Great for finding a variety of video game music. It is my default for music while I work. Only downside is the cast button hasn't worked for me in quite some time. Fortunately Google Home app mirror phone allows me to cast to my speakers. EDIT: I emailed the developer and the casting issue is fixed now. A status message also now let's me know when it is just connecting or buffering between my phone and the speaker.,4,com.flashsphere.rainwaveplayer
Olivier Pinsolle,"Awesome! I just wish there was a player in the notification area, as going back to the app everytine I want to pause or add favorites is annoying. With that it would be 5 stars.",4,com.flashsphere.rainwaveplayer
OneMan NoName,"Great app for VGM, but Chromecast support is not working for me.",4,com.flashsphere.rainwaveplayer
Uncle Snail,"It is great to have the availability to listen to a premixed selection of video game music. The app works well, without issues, and is well-designed.",4,com.flashsphere.rainwaveplayer
Chris Thomas,Excellent. I use Chromecast audio in the shop. Would be perfect if support is added down the road.,4,com.flashsphere.rainwaveplayer
Green Raven,One of the best radios for chiptunes and video game covers.,5,com.flashsphere.rainwaveplayer
Adam Gashlin,"Works great, author is very responsive to bug reports. I used the Chromecast feature for the first time today and it works pretty well on my 1st gen Chromecast.",5,com.flashsphere.rainwaveplayer
Damian Rene,Probably the Best Video Game Music Radio available. Not a single Ad. You can vote and favorite songs similarly as in the Web. Recommended.,5,com.flashsphere.rainwaveplayer
Alex Levin,"I use this 99% of the time while driving now. Only request is for the ability to vote on Android auto, unless I'm just dumb and can't find it. Thanks so much for this.",5,com.flashsphere.rainwaveplayer
Jesse Klein,"simple, ad-free and lots of features. truly a great contribution.",5,com.flashsphere.rainwaveplayer
Dale Royer,Great app! I use it all the time. It's stable and has updated modern features. Good work!,5,com.flashsphere.rainwaveplayer
Iskander,"For those who love game soundtracks, this app is ideal! I love it!",5,com.flashsphere.rainwaveplayer
snintendog,Great i radio app,5,com.flashsphere.rainwaveplayer
Vitor,Awesome! Thank you for developing this app!,5,com.flashsphere.rainwaveplayer
Addmai01,Awesome. Just.wish I could sign up so I can vote.,5,com.flashsphere.rainwaveplayer
Mozgus,Fixed it,5,com.flashsphere.rainwaveplayer
Wil,love it,5,com.flashsphere.rainwaveplayer
jan harald,"pretty cool, but I'd love if it didn't lock to stations, once I vote for something",5,com.flashsphere.rainwaveplayer
edward rivas,"Honestly I didn't expect this app to work or be as good as it is. I just 
kinda stumbled onto it online and decided to try their app for while I'm on 
the go. I've had no connection issues and it's great to hear all these 
soundtracks I never would've otherwise.",5,com.flashsphere.rainwaveplayer
k savary,"OMG. It's been maybe 30min, and I cant believe I have lived my life without 
this. Any gamer/ nerdcluture fan needs this. It's like electro ambient 
meets nostalgia",5,com.flashsphere.rainwaveplayer
Nicholas Rishel,Really appreciate the added Chromecast support.,5,com.flashsphere.rainwaveplayer
Casey Primm,Excellent app! Even has good chromecast support.,5,com.flashsphere.rainwaveplayer
K S,Eyy that's pretty good,5,com.flashsphere.rainwaveplayer
A Google user,"Thanks for the new app, much better now",5,com.flashsphere.rainwaveplayer
L B,"Works great, but can't log in. Browser shows ""unknown URL scheme"" after authorizing the account. Edit: Nvm, works with chrome",5,com.flashsphere.rainwaveplayer
cakebeholder,Does all it needs to do.,5,com.flashsphere.rainwaveplayer
Ivan Frolov,Amazingly simple yet functional,5,com.flashsphere.rainwaveplayer
Sheldon Henman,Exactly what I needed. I love it!,5,com.flashsphere.rainwaveplayer
A Google user,👍yes thumbs up,5,com.flashsphere.rainwaveplayer
jurriaan schols,"I love the app! I love game music and the request system is awesome! If you requested a song on a long ""cooldown"" it will wait for you to come back online so you can still enjoy the request :D a true recommendation to all game lovers.",5,com.flashsphere.rainwaveplayer
Chris Zammit,Thank you thank you thank you!!! I have wanted an app that does EXACTLY THIS for YEARS. This app is perfect and does what it needs to and isn't bloated and doesn't have ads and I could hug you. I will use this app constantly.,5,com.flashsphere.rainwaveplayer
Jamie Darnell,Great app for enjoying video game music.,5,com.flashsphere.rainwaveplayer
JD Mills,"This app is amazing. Would you consider adding Android Auto support? There are dozens of us! Dozens! EDIT: it works! It would be nice to be able to see my request queue, or at least clear and refill the queue with favorites/random songs, just like the smart phone and web interfaces allow. Android auto seems to disallow interactivity almost by design, so I'm not sure if this is technically possible. Maybe it's a safety thing. I'm really grateful for the addition, though. Thank you so much.",5,com.flashsphere.rainwaveplayer
Matthew Alley,One of the bests apps I've ever used. Does exactly what I wanted/needed. The perfect replacement for DI's missing chiptune station.,5,com.flashsphere.rainwaveplayer
A Google user,"This app gives you almost all the power you have on the full website, and it does so with a simple, smooth, and reliable interface.  A few small recommendations: it would be better if the rate-a-song prompt were somehow designed so that one's finger didn't block the star rating he or she wanted to give.  Also, it would be nice to see one or more ""previously played"" songs such that one can rate a song once it's over rather than in the middle.  These are only minor flaws in an overall excellent app.  Thanks!",5,com.flashsphere.rainwaveplayer
Nostalgia Ninja,The app works better than the previous rainwave app that required an companion app.  Would love to see the current song name on the lock screen after waking the phone up from sleep.,5,com.flashsphere.rainwaveplayer
Naman Aggarwal,Thanks for this,5,com.flashsphere.rainwaveplayer
Rob McAuley,"I created Rainwave and I use this app! Keeps updated with the latest site features, and makes it much faster than our website can be on mobile browsers!  Truly excellent work. Keep it up!",5,com.flashsphere.rainwaveplayer
Carlos Negron,Rules,5,com.flashsphere.rainwaveplayer
Adam Holloway,awesome,5,com.flashsphere.rainwaveplayer
Cyn V,Works good gj,5,com.flashsphere.rainwaveplayer
Joni Liu,Better than the official one..please add more features like bookmarking,5,com.flashsphere.rainwaveplayer
Elle Mitchell,"Had no choice but to finally uninstall. Locks up Pixel 4a 5G during powering on or restart (""SomaFM not responding"" prompt with options to either ""Wait"" or ""Close app""), the only non-system app to do so. Not sure why this app is continually active even when I haven't opened it. Not only that but prompt will pop up again even if I think I've killed the app. Android 12 already starting up better without it. Zero reason for this app to activate at boot up or run in the background.",1,com.dgmltn.radiomg.somafm
Mat D,Plays for a few seconds then shuts off. Every station.,1,com.dgmltn.radiomg.somafm
n,how can I force the app not to use mobile data?,1,com.dgmltn.radiomg.somafm
