Reviewer Name,Review,Rating,Package name
Andrew Wright,I hate the new app. The chat list avatars don't go away even with the avatar option disabled. Also can't turn off the topics and names. These two combined make the list to spread out and really hard to scroll.,1,com.iskrembilen.quasseldroid
Stijn Tintel,"Horrible. Buttons that appear when long pressing a network do not work, so I need to delete a network and add it again to make this thing reconnect.",1,com.iskrembilen.quasseldroid
Auke Kok,"really disappointed that the new version doesn't highlight channels any more, which severity hinders effective use.",1,com.iskrembilen.quasseldroid
A Google user,Somehow the UI got even worse. I'll have to sideload from an old version now...,1,com.iskrembilen.quasseldroid
Luke Dashjr,Rarely works at all... usually just gets stuck on handshaking,1,com.iskrembilen.quasseldroid
Marvin Clavey,unable to make it work ... unable to set up a server so could not set up a chat,1,com.iskrembilen.quasseldroid
A Google user,"Crashes on the ""setup identity"" screen",1,com.iskrembilen.quasseldroid
Arniceous Maximus,Complicated beyond belief,1,com.iskrembilen.quasseldroid
Ahti Järvelä,Make it suck less,1,com.iskrembilen.quasseldroid
Michael Carpenter,"Refuses to connect to cores connected to multiple networks once backlogs 
get beyond a certain size. Completely unusable without disabling backlogs 
entirely on the core... which defeats the purpose.",1,com.iskrembilen.quasseldroid
Tamara Jordan,Couldn't connect to Freenode.,1,com.iskrembilen.quasseldroid
A Google user,Hasn't been updated in a long time (2014) and appears to break in Android N. Unfortunately it appears this is the only quassel client for Android.,1,com.iskrembilen.quasseldroid
koichi,"Does not work on android 7.0, I get a ""failed to load certificate"" error.",1,com.iskrembilen.quasseldroid
Ryonia Coruscare,Just returns invalid username/password,1,com.iskrembilen.quasseldroid
A Google user,"Forceclose  , doesnot work, Lg optimus p500, os 2.3.3",1,com.iskrembilen.quasseldroid
A Google user,FCs on login to 0.7.2 core. Report sent.,1,com.iskrembilen.quasseldroid
just sleep,Just doesn't work,1,com.iskrembilen.quasseldroid
Daniel Gerson,Doesnt show me any log info why i can't connect to freenode. webchat client works fine. should have stock config for popular sites.,2,com.iskrembilen.quasseldroid
Mohammad Amin Sameti,"Does not store identities or networks. Good design, bad functionality.",2,com.iskrembilen.quasseldroid
Reinis Ivanovs,No way to filter out joins or parts.,2,com.iskrembilen.quasseldroid
Charles Johnson,"This ""dark"" theme which is now gray instead of black is hard to see with certain font colors, plus harder to see in general in brighter light. -2 stars until the old black theme from a couple versions ago is added back in. Moto E (2nd gen with Android 5.1)",2,com.iskrembilen.quasseldroid
Sam Reed,Doesn't handle SSL certificate changes well. Just get stuck in a loop. Clearing data/cache didn't help... Or is it just broken on Android N?,2,com.iskrembilen.quasseldroid
Reuben Peterkin,The version on F-Droid is newer.,2,com.iskrembilen.quasseldroid
A Google user,Doesn't seem to work on LTE,2,com.iskrembilen.quasseldroid
A Google user,When will the old black theme be available again? Gray background is rough to read in certain lighting conditions and with some font colors.,3,com.iskrembilen.quasseldroid
Mathijs Lindeboom,App constantly crashes(and says Reporting crashes) constantly on start up. Whenever i do manage to get through it works perfectly,3,com.iskrembilen.quasseldroid
A Google user,"Often after the app has been running for a while, channels seem to not be reliable. Especially if I use a client on the computer in between sessions. I was very confused when I opened one channel to find a completely different one. Sometimes, the list of people who are online are off too. I've once found someone logged in under the same nick 4 times (that's a bug). Its because it doesn't seem to always register when someone quits or parts.",3,com.iskrembilen.quasseldroid
B Hellman,Having an auto reconnect would be helpful. Switching between network and wifi means manually reconnecting. It's a pain.,3,com.iskrembilen.quasseldroid
Robert Wilson,Worked perfectly fine until recent update to side swiping version. The app crashes every second reconnect attempt,3,com.iskrembilen.quasseldroid
Shaun Bouckaert,After selecting a channel the back button should take you back to the channel list. The interface needs a lot of improvement.,3,com.iskrembilen.quasseldroid
James Russell,Seems good. Would be great to have a full screen view that hides the status bar and the bar with the hide button.,3,com.iskrembilen.quasseldroid
A Google user,Cannot select text and links. Also there is no exit button and the app will run non-stop once it is started.,3,com.iskrembilen.quasseldroid
A Google user,"Nice when it works, but it crashes more often than not. Galaxy S2.",3,com.iskrembilen.quasseldroid
A Google user,"Would be sweet, logs in to core OK but just says ""loading..."" forever. Tested with 0.7.2 on arch. Looking forward to this though!",3,com.iskrembilen.quasseldroid
Masoud Moradi,"Quassel is great on the desktop, both the server (core) and the client have been my favorites for years now. So happy to see the Android version and I like it very much. It works smoothly, nice UI, and overall a great experience; possibly one of the best IRC clients for Android.",4,com.iskrembilen.quasseldroid
Josh Rehm,"Setup isn't exactly straightforward, but seems to work well when you get it going.",4,com.iskrembilen.quasseldroid
Scott Kitterman,"Great upgrade if you're quassel-core is updated to 0.13. If not, upgrade your core first.",4,com.iskrembilen.quasseldroid
Joshua Booth,"If you are already using Quassel, this app is awesome. If you aren't, this app is probably overkill.",4,com.iskrembilen.quasseldroid
A Google user,"Works well, though the fact that the quassel protocol is TCP/IP can be a 
bit annoying.",4,com.iskrembilen.quasseldroid
A Google user,"Could really use the promised push notifications - that should solve all battery and connection issues (so that one can stay pretty much disconnected until a highlight or something). Otherwise a stellar app, supports pretty much everything the other native clients do.",4,com.iskrembilen.quasseldroid
Dave Chiluk,The devs really need to work on the power consumption.  This app destroys my battery.  Other than that it's really hard to give up quassel when you live and breath IRC.,4,com.iskrembilen.quasseldroid
Lucas Williams,It works way better than anything on the Apple side. Closest thing to the quassel-client on Android.,4,com.iskrembilen.quasseldroid
A Google user,Needs push support for notifications to help save battery. For some reason I can't disable the notification icon. Other than that is a great client for Quassel Core.,4,com.iskrembilen.quasseldroid
A Google user,"The interface is cleanly organised, and the experience has been seamless so far. Except for one thing: sending URLs and other text still requires a copy-paste. It would be great if the app can be registered with Android Intents so that text can be sent to active channels and users through the Share feature.",4,com.iskrembilen.quasseldroid
Joshua Johnston,"This is a well made application in general, and works great when you have a solid connection. But iffy connections can be very frustrating when the screen goes back to login mid-sentence. Also, highlighting should never use the same color as a username.",4,com.iskrembilen.quasseldroid
Matt Kereczman,This is a great IRC client for Andriod. The only thing I think it's lacking is an auto-reconnect option; that would make this a 5 star review.,4,com.iskrembilen.quasseldroid
Gareth Woolridge,Would be a 5 with autoreconnect.,4,com.iskrembilen.quasseldroid
Anthony Gautier,"Great app, helps me keep tabs on IRC without needing a constant connection. Would love a system for setting up notifications when certain things happen in a channel, e.g. a keyword appears. Also, a setting to remember last view when activity loses scope.",4,com.iskrembilen.quasseldroid
David Fox,I'd give this 5 stars if one feature was added - auto reconnect. THIS IS A MUST! Other than that it's a great app!,4,com.iskrembilen.quasseldroid
Sami Liedes,"A few things I miss, in order of importance to me: The ability to select text for copying; automatically reconnecting when my phone switches to/from WLAN; and the ability to open a new query without typing /msg.",4,com.iskrembilen.quasseldroid
Louis Rossouw,We just need automatic reconnection options.  When I switch wifi or move from mobile to wifi I want it to automaticall reconnect.,4,com.iskrembilen.quasseldroid
Chuck Burns,"Just missing autoreconnect options, otherwise a great way to keep up with my IRC channels.",4,com.iskrembilen.quasseldroid
Kurin P,"Aside from some features that will probably be added later, I can't think of any downside to this app!",4,com.iskrembilen.quasseldroid
A Google user,but its still a long way to go: any advanced inspircd support is currently missing.,4,com.iskrembilen.quasseldroid
Νίκος Κ,"Update works now for nexus 7, thanks!",4,com.iskrembilen.quasseldroid
Jason Edwards,"This app crashed on connection when I first installed it. If that happens to you, check if something else is using the same port on the host machine - in my case there was (crashplan) - changed the port quassel core uses and it stopped crashing.",4,com.iskrembilen.quasseldroid
A Google user,Update to a previous review. I think the most important thing to work on this app now is battery life. Sleeping and polling or push options from the server. And a donate button!,4,com.iskrembilen.quasseldroid
Dana Moult,Very polished and does what it's supposed to do very well. Just needs to add a few basic features like changing channel topics and op-ing or kicking people and it would be perfect.,4,com.iskrembilen.quasseldroid
Dirk Hohndel,No update in a long time...,4,com.iskrembilen.quasseldroid
A Google user,ok,4,com.iskrembilen.quasseldroid
A Google user,"Worked perfectly until the last 3 updates, now it crashes a lot with null pointer exceptions. Have submitted reports.",4,com.iskrembilen.quasseldroid
A Google user,"Invaluable, fast and stable.  One question: is there tab completion for nicknames or not? I see reference to it in the release notes but can't for the life of me work out how to do it...",4,com.iskrembilen.quasseldroid
A Google user,"Can't join channels, and looses connection often, but great start!",4,com.iskrembilen.quasseldroid
A Google user,"Nice start, works fine for me with core 0.7.2 Way to go!",4,com.iskrembilen.quasseldroid
Swaraj Hota,"Says ""disconnected"". Just can't connect to the core. Works perfectly on the desktop client but don't know what's the problem with android client. Can't find any help whatsoever either. Please fix this! UPDATE: Was a mistake on my side, wrong hostname :) Although some kind of alert from the app could have been useful to quickly identify this. Anyway, works perfectly now!",5,com.iskrembilen.quasseldroid
Jay Colson,"Wonderfully implemented Android client for IRC.  Very kind on your battery usage compared to other IRC clients.  Requires you to install QuasselCore on a ""server"" (could be your desktop at home), which replaces the need for an IRC ""bouncer"", as it serves the same purpose (keeping you always connected to your IRC servers as well as persisting 'scrollback' so that you can 'catch up' to what you've missed in your favorite channels.  Highly recommended!  And a great development team.",5,com.iskrembilen.quasseldroid
Shane S.,"Like many IRC users, I enjoy chatting with folks across the world, I don't like giving up my privacy to a handful of companies, and I want to take my conversations with me wherever I go. This free, ad-free app lets me do just that, complete with notifications, synchronized chat history from desktop and web, settings galore, and surprising speed. (Full disclaimer - I've helped contribute a bit to the development, and if you have the time, I encourage you to do so, as well - it's open source!)",5,com.iskrembilen.quasseldroid
A Google user,"Lifesaver of an app if you use Quassel (core) and want/need to IRC on the go. I've used the old versions and this one as alpha/beta, this new version is great. The majority of the new features will only work with an upgraded core (0.13+) and it is well worth it!",5,com.iskrembilen.quasseldroid
s k,"Quasseldroid with a Quasselcore has been the most comfortable way to use IRC from Android for years. Very happy with it, haven't encountered major issues.",5,com.iskrembilen.quasseldroid
Ray McKinney,Well-designed app to connect to your already configured quassel core. The developer and community in #quasseldroid on LiberaChat are friendly and eager to help!,5,com.iskrembilen.quasseldroid
Giuseppe biondo,"super well made, interfaces perfectly with my core machine.",5,com.iskrembilen.quasseldroid
Danil Yarantsev,One of the best ways to use IRC with features like log saving,5,com.iskrembilen.quasseldroid
hl521,"Absolutely phenomenal, allows me to lazily talk to people anywhere from my phone to my quassel core server The future is here stay laz- er, efficient, my people",5,com.iskrembilen.quasseldroid
Anh Ho,"Quassel already is the best irc client, but even more so now I can use it on Android",5,com.iskrembilen.quasseldroid
Lawrence Cook,honestly the best way to use irc.,5,com.iskrembilen.quasseldroid
Jorin Seline,The best Android IRC client I've ever used,5,com.iskrembilen.quasseldroid
Vaibhav Kaushik,Exactly the kind of IRC app I was looking for,5,com.iskrembilen.quasseldroid
Hein-Pieter van Braam,Excellent detached IRC client.,5,com.iskrembilen.quasseldroid
Damian Fulmer,This is how you irc !!!,5,com.iskrembilen.quasseldroid
Maik Adamietz,Why isn't quasseldroid updated on the play store. F-droid has been shipping the newer versions with the material design for a long time now.,5,com.iskrembilen.quasseldroid
nuunjo,Works like a charm,5,com.iskrembilen.quasseldroid
Philip Ridout,The recent major update has improved this app in numerous ways!,5,com.iskrembilen.quasseldroid
A Google user,This is the first time I've ever felt like it was viable to have a constantly-connected messaging app on my phone.,5,com.iskrembilen.quasseldroid
A Google user,"Bug update: URLs encapsulated in parenthesis are problematic. When opened the URL ends in a ')' breaking the link. Otherwise 5 stars.   Yet another extension of the fantastic irc client that only keeps getting better and better. Being able to connect to my core from my phone is fantastic for IRC on the go, especially since I can read the backlog and seamlessly jump from PC to phone. Thanks!",5,com.iskrembilen.quasseldroid
