Reviewer name,Review,Rating,Package name
Markus S.,Excellent,5,de.chaosdorf.meteroid2
Sun Thanavuthi,Worst of the worst app Always say no Internet connection..!!! I wonder people who rate 5 stars for this bad app. Now I can't even open app after I reinstall. I wasted my money .. bad bad,1,com.wingmoney.wingpay
Kiri Kroem,"Always error without any inform, or correct pop up message. Whatever happens it says ""check your internet connection"". 👎",1,com.wingmoney.wingpay
OG Brawl,"Keep show error message: Please Check Your Internet Connection, but my internet have no problem at all. Please fix it asap",1,com.wingmoney.wingpay
darith our,Camera buttons on registration section don't work,1,com.wingmoney.wingpay
Heng Bunnathai,"Nothing to say. It is good to leave ☆ for you for your app. This app make me feel bad by doing multiple times to make a success transfer or other payment. Cuz every time making a transaction or a payment the app always show ""please check your internet connection"" but my device is full of internet. I dont know why. It is fine to leave 1☆ for. Bad app.",1,com.wingmoney.wingpay
See Jo Mes,"Your app have not been working properly for the past 6 months. Please fix this error! I not want to keep on seeing the notification, ""App not responding!!!"" This is getting out of hand! I am done with your bug of an app!!! Have a nice day.",1,com.wingmoney.wingpay
Administrator KH,"Please update your login system to make more easy,it's difficult to login wing money app. if I forget my pin or password icant login anymore and they send me opt code but after login stay say that it's not in I don't how your app is used.but it's hard for me I already opened 3time at wing but can't use it so maybe I change my mind will close forever. I think you need more update on app. For more options of login and more options of or allow the user can change their info by themself.thanks",1,com.wingmoney.wingpay
stephen yeyeodu,"After the update, it's not stable at all, there will be a space to type the number but there's nothing for the password, only log in button, after pressing log in, it will tell you that the password is wrong while there's no password typed..",1,com.wingmoney.wingpay
Andy,I deposited $128.35. The funds were immediately frozen. The call center in Phnom Penh explained I need to verify my ID first. I therefore took my passport to FOUR agents located in Siem reap. All of them were too lazy to verify my ID because they receive no money in return. Shockingly bad. Do not install or use this app. You have been warned!! Money lost grrrrrr.,1,com.wingmoney.wingpay
Sanjay Kumar Behera,"Think twice before deposit your money. If the system says verify your id then it's very very difficult to do that part because the agents are either so lazy or they don't know the procedure how to verify the I'd. I faced it recently, I approached more than 10 Wing agents to verify my id but all are in vein. The agents are simply sitting and playing with their mobile but not not ready to update/verify the customer I'd.",1,com.wingmoney.wingpay
Mam Maly,"Awful App 👎 I've called to service center why I can't use App on the phone , they only listen and ask questions but no any solutions. During talking on phone, the phone service cut of all the times, I am tired of calling back after 3 time out off service on phone, anyway I know, they have no solution anyways 😈😈😈",1,com.wingmoney.wingpay
Kong Yi,"Never ever use E-banking app as worse as wing app. Not recommend to use it anymore. Type pin error 3 times blocked account then need to go to bank directly😂. Support team has responsibility and follows the rule that can't be flexible even customer answered their personal info correctly,still ask last transaction and amount in. How can human remember last transaction for months?be flexible n more facilitated to customer than this",1,com.wingmoney.wingpay
Sophea Lim,"I will not recommend any friends or family to use if this app keeps sucking money from users at all points. I can't even log in my account in another phone by myself. This app is much WORSE than some bank app. Bank app (free to use) can log in and log out in any devices we want, and we can also get interests when we deposit the money in the bank. This app doesn't provide any interests when we deposit the money, and want to suck our money whenever we want to log in another device. I don't want to give even 1 star.",1,com.wingmoney.wingpay
Georgina ROBERTS,Tjis app was workung grwat until last upgrade. Now it is crashing and I am unable to open and my top up has not gone through even though at first it said it had. Disappointed.,1,com.wingmoney.wingpay
ចេក [banana],"Very low customer service and lack of knowledge with their staff who incharge at the cinema area, city mall, to provide deposit service for customer. Just only normal thing when I asked to top-up to my account only 5$, they said there is no service for that. What the hell! How this was possible? Previous time, I asked to top-up my account 10$, they told that there is no enough money for 10$ and they could provide only 5$ and I accepted that but how come? Plz improve it.",1,com.wingmoney.wingpay
SEIHA CHHENG,"No matter how stable my internet connection is, the app always alert ""Please check your internet connection as it is not stable now"". Such a pain in the ass. It should learn a thing or two from usability and seamless of ABA banking app.",1,com.wingmoney.wingpay
Vicheth Sor,Why Wing App doesn't have Log Out sgin? I experience it is not good to keep it for about 1 to 2 mn. I feel unsecure. Wing always make trouble for all. Bad service and not improve. I can anticipate it will be decline more one day soon.,1,com.wingmoney.wingpay
Danny Humphries,"Only thing I wanted it to do, it doesn't do.. send wing voucher to friends and family who don't have apps and accounts as they can't read. I want to put money from ABA account into my wing account and then send out digital wing vouchers that my family can redeem in cash. Of course normal or even a slightly higher charge everyone would accept.",1,com.wingmoney.wingpay
Elizabeth NHAN,Maintenant of wing is so poor. When I used the app they always say please check connection. I topped up but there is no alert from app neither the sms. Most people use wing to pay bill to aeon. But why on deadline date wing app is error. We need to pay service charge more.,1,com.wingmoney.wingpay
Sareth Ken,The app is no longer safe after updating. If somebody can access the phone they simply access all Wing account information including account balance and all detailed transactions.,1,com.wingmoney.wingpay
17. សន សុភា,"I don't rate this app because it is the popular app in the worl but it have BIG error. I cannot create account, I try so many time but still cannot create account. Owner have to invest some money to develop this app, check and review it again.",1,com.wingmoney.wingpay
John Edwards,Wing is the most useless app I have ver had the misfortune to use. Utterly useless. I wouldnt recommend it to my worst enemy. Do yourself a favour and never try to use it. Down loaded now!,1,com.wingmoney.wingpay
Craig Steel,"I just downloaded it, it keeps saying my Internet connection is not strong enough. It clearly is as I am streaming 4k video on YouTube with no problems.",1,com.wingmoney.wingpay
Bunseth Likyon,"Cannot even enter my PIN because it keep saying ""please check your internet, your connection is not stable right now"" even when i can use my Internet just fine on 5 other PCs and 5 other phones.....fix the bloody bug!!!!",1,com.wingmoney.wingpay
Brandy Wasay,"For the last 6 months , i could not Login to my account . I could not enter the SMS verification code . Please fix the bug . How hard can that be ? Overhaul the entire software if you can't fix it",1,com.wingmoney.wingpay
kim sun,"wing app is good before update. If your up to date app not better in used . you have to stay turn privious verson. I Had change 2 mobile phone after update your app. now, i didnt have money to change my phone agian.",1,com.wingmoney.wingpay
Sivly Ac,Hi can you please do the og in more easier?just phone and password?I really borded with the code notification in my phone and lazy to delete the sms. Every time I login it's really boring!!!! Hope you update and do it better!,1,com.wingmoney.wingpay
Simply Ann V,"I have to go to the nearest Wing agent to update my ID... like everytime I send money, hasstle to the highest level. I am closing my account for the reason that this is absolutely USELESS.",1,com.wingmoney.wingpay
Mohd Helmy Mohd Akhir,"I cannot log in to my account because got a error message appeared ""This account has been activated on another device"". I try to ""forgot password"" (reset my password) using the app but the same Error message appeared. Please fix this issue , please make easy to customers solve this small problem.",1,com.wingmoney.wingpay
Sopheak Keat,"Hello WingMall! Placed order 2 times, no items arrived. 1, Placed order. 2, Order confirmed (within 14second). 3, Assigned Driver (almost an hour still processing). 4, Driver Pick up (almost an hour still processing). 5, ............",1,com.wingmoney.wingpay
Nun Thon,"Complicated Apps, confusing account. I went to their headquarters multiple time, but they did not explain to me clearly on how to use their complicated mobile App.",1,com.wingmoney.wingpay
Kong Sophal,"The new update is NO longer safe, no automatic log-out and no icon to log-out. Need urgently solve the problem... the multiple devices log-in not fixed...",1,com.wingmoney.wingpay
Sophanith SON,It always show connection unstable and can't do anything. Even I used wifi connection it still the same.,1,com.wingmoney.wingpay
Mr. LC camlefa,"Before, it was good, but now bad because too many advertisements in the notifications. I diske adverd very much.",1,com.wingmoney.wingpay
Peter Schwamberger,App is useless. Can't load any money. Cannot be recognised  by my Bank FtB. I cant open account in the Computer: Login says account cannot be found. When I want to make new account it says account already exists.  Catch22 Bank manager found out account number to long. No real help  from help center,1,com.wingmoney.wingpay
GCCinPP,"Unfortunately, did not work for me. I never received the OTP code even after many tries. My phone company is SEATEL so I don't know if they have a problem with this company",1,com.wingmoney.wingpay
Sereychivon Ung,"App doesn't work properly. Please check. Internet connection is fine but app always says ""please check your internet connection""",1,com.wingmoney.wingpay
Chhim Panhapich,Bruh Can't even register an account. The selfie and ID card Photo doesn't work lol,1,com.wingmoney.wingpay
Justin Seagull,It's suck!!!!!!! when I don't have money in my account everything is okay but when I add money to my account it said my account has been closed.,1,com.wingmoney.wingpay
Jon Morgan,This last update has made this app absolutely useless. It worked well before and was quite convenient. I await another update.,1,com.wingmoney.wingpay
John Smith,Wingmall is the worst delivery service in Cambodia! They remove items from your order without notification and you cannot even cancel. Avoid.,1,com.wingmoney.wingpay
Danich,Bad customer service ever! The system is so bad. My account has blocked without notifications.,1,com.wingmoney.wingpay
Charlie Dittmeier,The Wing app is terrible. I can comply with the instructions and then it does not let me continue.,1,com.wingmoney.wingpay
Lucita :D,1* for making me recreat my account because verifying an account is as good as creating a new one.,1,com.wingmoney.wingpay
Sokhom Leng,Always block my account just because I entered wrong password you don't need to do like this I'm so bored to call your costumer service that always rude and pick up late 😒.,1,com.wingmoney.wingpay
Saren Um,"feel sad that I cant recover my account when I forget my password, and also my pin code. dislike it when my app is blocked and need to contact to Admin to recover it. Hope to see a new update which gets the users feel more convenient because it doesnt get the users feel free",1,com.wingmoney.wingpay
Chanraksmey CHHIM,Your app is not yet upto date if comparing to others. When forgot password or change phone need to call center. So OTP should be enough for confirmation.,1,com.wingmoney.wingpay
Heng Vireak,"Wing is not secure bank, no safety information for the user and this bank has no responsibility for the user. Moreover, it has function support for criminal in Cambodia, it can hack to steal your money easily. Many Cambodian were cheated by this bank and their customer service were rude and no responsibility. As I am Cambodian, I don't recommended to use it. You should use other bank in Cambodia, they are more secure and has more responsibility than this bank.",1,com.wingmoney.wingpay
A Google user,I hate it now. i want to activate my account on new device and i called to customer service but they didn't do it for me. Bad Bad service. I don't reccomend it.,1,com.wingmoney.wingpay
Traa,"Bad UI, keyboard didn't show up, can't even verify the code.",1,com.wingmoney.wingpay
