Reviewer name,Review,Rating,Package name
Alexandre Ostrenko,Didn't work Error... Error.. I that portal is okay and login too... Software has some bug,1,it.niedermann.owncloud.notes
Miakoda,"Stopped syncing. Removed account and readded, no go. Uninstalled and reinstalled, no go. Couldnt find support. App became useless.",1,it.niedermann.owncloud.notes
A Douglas,Does not even work. Error is immediately thrown that username and/or password is wrong. Which is not right. I'm self hosting my Nextcloud instance and have no issues. Simply did not work for me.,1,it.niedermann.owncloud.notes
Timothy Hoogland,Doesn't work with the latest NextCloud update. Getting a file api error.,1,it.niedermann.owncloud.notes
Florian Gibala,Sadly it cannot be used with self signed certificates. Please add support for this.,1,it.niedermann.owncloud.notes
A Google user,Trying to connect to owncloud instance using ssl with a certificate signed by GoDaddy fails. Every time. Purchase refunded.,1,it.niedermann.owncloud.notes
Peter Szabo,"Without the features of a 21st century notes app, such as supporting check lists, tables, inserting pictures etc... this is nothing else but a simple text editor. I know this is mainly an issue of the server side but still, the usability is strictly limited and doesn't meet the requirements of a note taking app in the year of 2019.",2,it.niedermann.owncloud.notes
Landon Wark,Latest version refuses to sync.,2,it.niedermann.owncloud.notes
Josh Stuckey,unable to login 2-factor authentication.,2,it.niedermann.owncloud.notes
Zs B,Sometimes sync stuck.,2,it.niedermann.owncloud.notes
Anton Kro,"Would be nice if the Certifcates genrated by Let's Encrypt will be accepted, for me is this app for now not usable :/",2,it.niedermann.owncloud.notes
Phillip Clapham,"Missed that is currently unsupported with self signed certificates and ended up wasting 2.50, not worth using until is able to truly to be used on a self hosted domain at home.",2,it.niedermann.owncloud.notes
Philipp Bartels,"There are several server side note applications available. This Android app sadly only works with the server side ""Owncloud Notes"" app but not with the ""OwnNote"" App. The server side ""Owncloud Notes"" App isn't really feature rich (no WYSIWYG, no categories, ...). Its not that big App fault but the limited features make it just not helpful...",2,it.niedermann.owncloud.notes
Tom -,"Love that you've made this... However - it was buggy enough for me that I had to refund. The unordered lists sometimes looked like ""·-"" and sometimes like ""-"". It happened when I synced from remote with `-` style unordered lists and was inconsistent enough to the point where I couldn't trust it to work If you fix it I'll give it another go 🙂",3,it.niedermann.owncloud.notes
Ju-eng Ling,"Man, has that app and nextcloud notes in general come a long way since I tried it last! It can actually be used for note taking and note management now. For that 👍👍👍! And yet, no support for attachments, not even a simple picture, let alone locations, videos, etc! Until this is possible I can't give it more stars. Also, because of those shortcomings, I can't use it as my main note taking app. Too bad, really!",3,it.niedermann.owncloud.notes
Rene Balvers,"Good and really needed/valuable app in conjunction with nextcloud. However, the selection of text is cumbersome. The interaction needed to select, cut/paste parts of text is not easy. At least not as intuitive as expected. Nice is the ability to position the cursor accurately, but how to switch from insertion point to select text, e.g. by dragging the screen, or switch from selected tekst to a selection with handles to extend/reduce selected text is vage. Would like to elaborate on it more.",3,it.niedermann.owncloud.notes
Heikki Moisander,"It works better than some time ago. Did not use it much yet as my next cloud activity is on pause, but I am looking forward geting it up and start using this as my main note app.",3,it.niedermann.owncloud.notes
Alex Fornuto,"Pretty good. As a feature request, I'd like to be able to ""check"" boxes while in view mode.",3,it.niedermann.owncloud.notes
Chris Zuber,"Would get an extra star for image and links, and another for check marks (with the ability to toggle without going into edit). Still pretty useful.",3,it.niedermann.owncloud.notes
A Google user,"The app is a very good idea to sync notes with nextcloud. But it's described as ""renders markdown"" and cannot even display tables. Update: I'm long term user now and besides comment above, I'm very pleased with stability and usage experience.",4,it.niedermann.owncloud.notes
My Android,Excellent Notes app to use with your NextCloud instance! Improving with each release. Keep up the great work. 👍 ---> To dev: Would you consider importing some of the security functions from EncryptPad (no mobile app available) to secure important notes with an open source implementation of an AES encrypt/decrypt function? I believe that would be great feature and hope you will consider it. Danke!,4,it.niedermann.owncloud.notes
Matej Cotman,"Hey, nice notes app! Missing one little feature to be perfect: in the note listing widget I am missing first few lines displayed below the title of the each note, something like Google Keep has.",4,it.niedermann.owncloud.notes
