Reviewer name,Review,Rating,Package name
SEDIMAR SAKILAN SUHAILI,"Make it permanent file uploaded, please remove expiries date.. I hope can do that to us.",1,com.fileupload.filesharing.upfile
DANNY MULEMENA,Failing to upload,1,com.fileupload.filesharing.upfile
Mitiku Tilahun,Good,1,com.fileupload.filesharing.upfile
Mamun Mamun,Badd dog,1,com.fileupload.filesharing.upfile
Sports Highlights,Deserve 3 stars bcoz z not specific in you Tube,3,com.fileupload.filesharing.upfile
Abet Beltran,Lag,3,com.fileupload.filesharing.upfile
The Beshear Family,This app does exactly what it is intended for! I absoulutely love it!! The only thing that i did not like is the fact that each link you make only last for 7 days so you would keep having to make a new link every week pretty much but you can still connect it to the same domain which works out from the outward appearance.. But all in all this app is Awesome! Thank you to the developers for making this app! God Bless,5,com.fileupload.filesharing.upfile
Nilushi Dinushani,I was searching for a file uploading app for instant file sharing which is safe and troustworthy. This brilliant UpFile app helps me to solve my problem easily. Keep it up. All the best. Excellent work.,5,com.fileupload.filesharing.upfile
Joshep Starlin,UpFile is brilliant file upload app. It does exactly what I need and does not ask for any permissions except network access. Great to see a developer caring about not using unnecessary permissions! ❤️👏👏,5,com.fileupload.filesharing.upfile
Zakey Wisdom,"Great app, plz everyone, download this app. If you are searching for a safe internet transfer app, this is it. Exactly what am looking for. You can upload all files of any size and once downloaded, it's deleted from the server. 5 star for you guys.",5,com.fileupload.filesharing.upfile
Nilushi Dinushani,Best upload app that I have seen..❤️😘 Tried many apps but they were nothing comparing to this upFile app. I am using it for few months time and it is very supportive and and user frindly. Highly appriciate your excellent job and wish you all the best. Keep it up. Be the best..😊😊😊👍,5,com.fileupload.filesharing.upfile
Suleyman Shah,Good application but options applications move to sd card app login pin set different email account. Gmail. Yandex mail etc . Uploads and downloads app videos images pdf documents. notes,5,com.fileupload.filesharing.upfile
Iresh Chandrasena,"Simple but useful software , it make easy our file transfering in day to day works.",5,com.fileupload.filesharing.upfile
N&R Creation,The best file upload app I have seen ever. works like a charms. reccomend for everyone.,5,com.fileupload.filesharing.upfile
